file_name,question,answer,label
Gary Holton,Gary Holton appeared in which film and which show as Keith?, Holton appeared in the film Breaking Glass and as Keith in an episode of Play for Today.,"career,introduction,miscellaneous"
Gary Dourdan,Which two videos did Gary Dourdan appear in for Janet Jackson and Eric B and Rakim?,"""Gary Dourdan appeared in Janet Jackson's video titled """"Again"""" and in the music video """"Move the Crowd"""" by Eric B & Rakim.""","career,miscellaneous"
Eleanor Tomlinson,What roles did Eleanor May Tomlinson play in Jact the Giant Slayer (2013) The White Queen and Poldark?,Eleanor May Tomlinson played Princess Isabelle in Jack the Giant Slayer (2013) Isabel Neville in The White Queen and Demelza Poldark in Poldark.,career
Eleanor Tomlinson,What role did Eleanor Tomlinson play in The Sarah Jane Adventures and in the film Alice in Wonderland in 2010?,Eleanor Tomlinson played Eve in The Sarah Jane Adventures in 2009 and Fiona Chataway in the film Alice in Wonderland in 2010.,career
Eleanor Tomlinson,In which film did Eleanor Tomlinson play Xenya and when was that film first released?,Eleanor Tomlinson played as Xenya in the film Siberian Education. In 2013.,career
Don Rickles,What role did Riclkles star as in 1998's Dennis the Menace Strikes Again?,Rickles starred as George Wilson in 1998's Dennis the Menace Strikes Again.,"career,contribution,introduction"
Don Rickles,What did Don Rickles do in Quest for Camelot and Dirty Work?,Don Rickles portrayed in the film Dirty Work and voiced Cornwall in Quest for Camelot.,career
Xavi,What team did Xavi play for?,Xavi played internationally for spain and bracelona.,"""introduction"",""career"""
Xavi,In which year did Xavi make his debut appearance and how many times did he consequently play for Spain in total?,Xavi was capped 133 times for the Spain national team.,"career,contribution,introduction"
Lauren Daigle,When did Lauren Daigle win the GMA Dove Award for the Song of the Year and which song of hers received the award?,In 2015 Daigle won the GMA Dove Award for the Song of the Year for How Can It Be.,"award,career"
Larisa Oleynik,Other than The Swan Princess what other pre-2000's films did Larisa Oleynik play in?,In 1995 Larisa Oleynik played as Dawn Schafer in the film adaptation The Baby-Sitters Club and acted 10 Things I Hate About You (1999).,"career,introduction"
Jim Brown,How many yards and touchdowns did Jim Brown complete during his NFL career?,Throughout his NFL career spanning from 1957 to 1965 Jim Brown had 12312 rushing yards and 106 touchdowns.,"career,award,introduction"
Harold Ramis,In what movies did Harold Ramis play Dr. Egon Spengler and what years did those films come out?,In 1984 Ramis acted in Ghostbusters as Dr. Egon Spengler and repeated the role in the 1989 Ghostbusters II.,"career,contribution,introduction"
June Marlowe,In what role did the actress not play Miss Crabtree,Marlowe acted as Miss Crabtree in Shiver My Timbers in 1931 and in Readin' and Writin' in 1932.,"career,early_life,miscellaneous"
